Date,Captcha Question,Captcha Answer,Validity of Recognition,Match Result,Registering Authority,Number plate,Registration Date,Chassis No,Engine No,Owner Name,Vehicle Class,Fuel,FitnessREGN Upto,MV Tax upto,Insurance Upto,MakerModel,PUCC Upto,Emission norms,RC Status,Financed
11:27 PM,"Which one is greater 8 , 4",7,Valid Number Plate,Failure,"CHENNAI (EAST), Tamil Nadu",TA90A1834,11-10-04,MA3EPDE1S005641,K10BN141712,Priya Patel,Two-Wheeler,DIESEL,21-10-2026,LTT,03-04-26,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,24-04-2020,EURO 5,ACTIVE,YES
08:17 PM,"Which one is greater 6 , 8",2,Valid Number Plate,Success,"KOLKATA (NORTH), West Bengal",WE86B3660,06-12-08,MA3EPDE1S002809,K10BN141408,Rajesh Kumar,Two-Wheeler,DIESEL,24-09-2028,LTT,01-09-24,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,03-07-29,BS-VI,CANCELLED,YES
04:49 PM,"Which one is lesser 5 , 1",3,Valid Number Plate,Failure,"MUMBAI (EAST), Maharashtra",MA30C5696,05-07-14,MA3EPDE1S007285,K10BN149555,Bihari Bhai,Two-Wheeler,ELECTRIC,01-10-29,LTT,22-11-2026,TATA MOTORS NANO LX,18-07-2027,EURO 4,CANCELLED,YES
10:55 AM,"Which one is greater 9 , 8",2,Valid Number Plate,Failure,"CHENNAI (CENTRAL), Tamil Nadu",TA37B7976,01-04-23,MA3EPDE1S006765,K10BN143803,Rajesh Kumar,Three-Wheeler,CNG,09-10-25,LTT,17-03-2030,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,06-05-25,BS-VI,ACTIVE,YES
04:49 PM,"Which one is greater 1 , 4",10,Valid Number Plate,Success,"KOLKATA (NORTH), West Bengal",WE69B3262,27-03-2016,MA3EPDE1S007383,K10BN142887,Suresh Gupta,Two-Wheeler,PETROL,19-03-2030,LTT,11-08-28,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,14-11-2025,EURO 5,ACTIVE,NO
03:37 PM,"Which one is lesser 1 , 5",2,Valid Number Plate,Failure,"MUMBAI (CENTRAL), Maharashtra",MA12B2569,14-06-2002,MA3EPDE1S004545,K10BN144028,Jitesh Gaikwad,Three-Wheeler,CNG,15-04-2026,LTT,03-12-21,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,10-09-26,EURO 4,NOC ISSUED,YES
11:16 PM,"Which one is lesser 8 , 2",10,Valid Number Plate,Success,"KOLKATA (NORTH), West Bengal",WE21B8324,28-10-2015,MA3EPDE1S006627,K10BN146031,Pooja Sharma,Two-Wheeler,DIESEL,06-12-31,LTT,07-01-20,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,06-04-30,EURO 5,CANCELLED,YES
04:40 PM,"Which one is greater 2 , 2",6,Valid Number Plate,Success,"CHENNAI (EAST), Tamil Nadu",TA82B1723,24-07-2014,MA3EPDE1S003958,K10BN149201,Jitesh Gaikwad,Two-Wheeler,PETROL,08-05-32,LTT,02-10-24,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,21-03-2020,BS-VI,ACTIVE,YES
02:34 PM,"Which one is greater 5 , 1",8,Valid Number Plate,Failure,"DELHI (SOUTH), Delhi",DE15B6331,22-04-2021,MA3EPDE1S004851,K10BN146633,Bihari Bhai,Three-Wheeler,CNG,25-02-2031,LTT,21-03-2023,MAHINDRA SCORPIO S10,19-08-2023,EURO 4,ACTIVE,NO
03:04 PM,"Which one is greater 1 , 8",5,Valid Number Plate,Failure,"CHENNAI (EAST), Tamil Nadu",TA84C7723,06-10-19,MA3EPDE1S004560,K10BN142923,Arunachalam Nadar,Two-Wheeler,PETROL,01-01-31,LTT,21-02-2028,TOYOTA ETIOS GD,14-05-2026,EURO 4,NOC ISSUED,NO
05:21 PM,"Which one is greater 8 , 5",9,Valid Number Plate,Success,"CHENNAI (EAST), Tamil Nadu",TA66B6810,26-03-2014,MA3EPDE1S007297,K10BN146702,Suresh Gupta,Motor Car(LMV),PETROL,04-11-30,LTT,07-02-22,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,12-07-28,EURO 4,ACTIVE,YES
04:52 PM,"Which one is lesser 3 , 5",8,Valid Number Plate,Failure,"AHMEDABAD, Gujarat",GU49C9002,13-05-2017,MA3EPDE1S003498,K10BN144412,Suresh Gupta,Two-Wheeler,CNG,10-12-34,LTT,06-09-21,TOYOTA ETIOS GD,26-11-2025,BS-VI,ACTIVE,NO
07:52 PM,"Which one is lesser 10 , 2",1,Valid Number Plate,Success,"CHENNAI (CENTRAL), Tamil Nadu",TA41B2896,20-07-2012,MA3EPDE1S008177,K10BN148448,Amitabh Bachchan,Motor Car(LMV),ELECTRIC,21-09-2025,LTT,25-03-2020,HONDA CITY VX MT,09-11-22,EURO 4,NOC ISSUED,YES
07:35 PM,"Which one is lesser 10 , 4",6,Valid Number Plate,Failure,"MUMBAI (EAST), Maharashtra",MA48C2453,26-05-2003,MA3EPDE1S005893,K10BN144160,Arunachalam Nadar,Heavy Vehicle,PETROL,20-05-2031,LTT,14-08-2024,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,13-11-2029,EURO 4,ACTIVE,YES
02:36 PM,"Which one is lesser 5 , 2",3,Valid Number Plate,Failure,"AHMEDABAD, Gujarat",GU32A8038,28-12-2001,MA3EPDE1S006989,K10BN149132,Rajesh Kumar,Two-Wheeler,ELECTRIC,24-12-2029,LTT,21-04-2023,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,18-01-2025,BS-VI,ACTIVE,NO
11:29 PM,"Which one is greater 9 , 3",2,Valid Number Plate,Failure,"MUMBAI (EAST), Maharashtra",MA35A1160,12-09-18,MA3EPDE1S004788,K10BN145441,Bihari Bhai,Motor Car(LMV),CNG,21-05-2025,LTT,12-05-28,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,17-08-2025,BS-VI,NOC ISSUED,NO
06:50 PM,"Which one is greater 5 , 5",8,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA55B1382,05-12-09,MA3EPDE1S006531,K10BN144114,Arunachalam Nadar,Heavy Vehicle,PETROL,01-05-31,LTT,28-12-2022,TOYOTA ETIOS GD,15-01-2028,EURO 5,NOC ISSUED,YES
05:55 PM,"Which one is lesser 1 , 1",1,Valid Number Plate,Failure,"AHMEDABAD, Gujarat",GU55B1636,02-12-04,MA3EPDE1S005665,K10BN141655,Duraiyan Pandiyan,Motor Car(LMV),ELECTRIC,06-08-34,LTT,07-02-23,TOYOTA ETIOS GD,24-08-2027,BS-VI,CANCELLED,NO
09:01 PM,"Which one is lesser 1 , 2",6,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA49C8578,23-06-2000,MA3EPDE1S005266,K10BN145452,Suresh Gupta,Three-Wheeler,DIESEL,01-04-35,LTT,16-05-2021,TOYOTA ETIOS GD,10-09-25,EURO 5,CANCELLED,NO
10:05 PM,"Which one is greater 9 , 2",4,Valid Number Plate,Failure,"KOLKATA (NORTH), West Bengal",WE73C8525,18-05-2001,MA3EPDE1S003314,K10BN148267,Suresh Gupta,Heavy Vehicle,ELECTRIC,16-05-2030,LTT,05-01-30,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,11-05-30,BS-VI,CANCELLED,YES
05:05 PM,"Which one is lesser 6 , 5",5,Valid Number Plate,Success,"KOLKATA (NORTH), West Bengal",WE85C2339,25-04-2011,MA3EPDE1S002994,K10BN143976,Jitesh Gaikwad,Two-Wheeler,DIESEL,03-05-35,LTT,08-10-22,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,07-04-30,BS-VI,ACTIVE,YES
04:39 PM,"Which one is greater 4 , 3",7,Valid Number Plate,Success,"MUMBAI (EAST), Maharashtra",MA26C7717,24-05-2010,MA3EPDE1S006329,K10BN147429,Pooja Sharma,Two-Wheeler,ELECTRIC,12-12-27,LTT,06-08-21,MARUTI SUZUKI INDIA LTD MARUTI A STAR VXI,28-04-2026,EURO 4,ACTIVE,NO
04:40 PM,"Which one is greater 9 , 2",5,Valid Number Plate,Failure,"AHMEDABAD, Gujarat",GU35C3132,09-02-14,MA3EPDE1S006908,K10BN143906,Bihari Bhai,Heavy Vehicle,PETROL,10-08-34,LTT,24-07-2026,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,15-05-2020,EURO 4,ACTIVE,NO
03:00 PM,"Which one is lesser 8 , 6",1,Valid Number Plate,Success,"DELHI (SOUTH), Delhi",DE81B7470,11-01-17,MA3EPDE1S003486,K10BN148006,Duraiyan Pandiyan,Heavy Vehicle,CNG,22-06-2029,LTT,16-12-2029,MAHINDRA SCORPIO S10,02-03-25,EURO 4,CANCELLED,NO
06:55 PM,"Which one is greater 2 , 1",8,Valid Number Plate,Failure,"KOLKATA (NORTH), West Bengal",WE70B3125,05-10-09,MA3EPDE1S004741,K10BN148830,Vijay Singh,Three-Wheeler,ELECTRIC,05-08-32,LTT,19-03-2023,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,06-03-29,BS-VI,ACTIVE,NO
10:32 AM,"Which one is lesser 5 , 7",7,Valid Number Plate,Failure,"KOLKATA (NORTH), West Bengal",WE85B5340,10-07-23,MA3EPDE1S001114,K10BN145131,Priya Patel,Three-Wheeler,ELECTRIC,21-06-2035,LTT,12-11-25,FORD INDIA PVT LTD FORD FIESTA CLASSIC 1.4 CLXI,25-04-2028,BS-VI,NOC ISSUED,YES
07:02 PM,"Which one is lesser 8 , 2",3,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA61B3171,17-05-2005,MA3EPDE1S006965,K10BN143488,Rajesh Kumar,Two-Wheeler,CNG,25-04-2027,LTT,04-08-20,TATA MOTORS NANO LX,28-06-2026,BS-VI,ACTIVE,NO
10:50 AM,"Which one is greater 6 , 3",8,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA12A5777,04-11-21,MA3EPDE1S001133,K10BN142664,Vijay Singh,Motor Car(LMV),ELECTRIC,08-09-33,LTT,27-01-2025,HYUNDAI MOTOR INDIA LTD I10 ERA 1.1 EIII,14-05-2024,BS-VI,CANCELLED,YES
07:49 PM,"Which one is lesser 4 , 9",5,Valid Number Plate,Success,"MUMBAI (EAST), Maharashtra",MA32A5356,20-09-2023,MA3EPDE1S003115,K10BN143046,Vijay Singh,Heavy Vehicle,PETROL,12-10-26,LTT,10-01-30,MAHINDRA SCORPIO S10,06-02-30,BS-VI,ACTIVE,NO
05:44 PM,"Which one is greater 7 , 3",7,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA58A6717,02-11-23,MA3EPDE1S002477,K10BN141863,Suresh Gupta,Two-Wheeler,DIESEL,27-11-2030,LTT,19-04-2023,TATA MOTORS NANO LX,21-11-2021,EURO 5,ACTIVE,YES
04:38 PM,"Which one is greater 6 , 4",9,Valid Number Plate,Failure,"KOLKATA (NORTH), West Bengal",WE22B6731,24-02-2001,MA3EPDE1S002713,K10BN146792,Rajesh Kumar,Three-Wheeler,DIESEL,11-11-25,LTT,04-05-27,MAHINDRA SCORPIO S10,26-01-2020,EURO 5,ACTIVE,NO
10:20 PM,"Which one is lesser 1 , 4",6,Valid Number Plate,Failure,"MUMBAI (EAST), Maharashtra",MA77B5303,27-05-2007,MA3EPDE1S005434,K10BN143194,Bihari Bhai,Heavy Vehicle,CNG,23-01-2029,LTT,07-02-21,TOYOTA ETIOS GD,01-04-27,EURO 4,ACTIVE,YES
08:02 PM,"Which one is lesser 3 , 2",7,Valid Number Plate,Success,"MUMBAI (CENTRAL), Maharashtra",MA29C6766,06-07-14,MA3EPDE1S006470,K10BN144153,Bihari Bhai,Three-Wheeler,DIESEL,25-08-2028,LTT,14-08-2022,TOYOTA ETIOS GD,01-10-20,EURO 5,ACTIVE,YES
